,Date,Pairs_Name,Stock_1_Close,Stock_2_Close,Ratio,Ratio_Moving_Avg,Sigma,Upper_band,Lower_band,Break_Upper,Break_Lower
1308,2020-04-22,0005.HK 2388.HK,38.849998474121094,23.5,1.6531914244306851,2.1070304499142494,0.14461622333549634,2.2516466732497458,1.9624142265787532,,True
1308,2020-04-22,0011.HK 0005.HK,133.69999694824222,38.849998474121094,3.4414414980557324,2.84849416485656,0.20269109392263795,3.0511852587791983,2.6458030709339218,True,
1308,2020-04-22,0011.HK 2388.HK,133.69999694824222,23.5,5.689361572265626,5.978260813842686,0.2078765349477794,6.1861373487904645,5.770384278894907,,True
1308,2020-04-22,0016.HK 0017.HK,102.6999969482422,8.75,11.737142508370535,11.220550564653244,0.5158831032911501,11.736433667944395,10.704667461362094,True,
1308,2020-04-22,0027.HK 1128.HK,48.70000076293945,13.31999969482422,3.656156297200436,3.1545082643052686,0.23129873182956576,3.3858069961348343,2.9232095324757035,True,
1308,2020-04-22,0151.HK 0322.HK,5.480000019073486,13.84000015258789,0.3959537542381314,0.5045353441572252,0.05462639767669682,0.5591617418339221,0.4499089464805284,,True
1308,2020-04-22,0175.HK 0489.HK,11.399999618530273,4.940000057220459,2.3076922037415115,1.988337735377768,0.2234088996299471,2.211746635007715,1.764928835747821,True,
1308,2020-04-22,0175.HK 1958.HK,11.399999618530273,3.0999999046325684,3.6774193449149393,3.1098450278227228,0.5139060747494816,3.623751102572205,2.5959389530732406,True,
1308,2020-04-22,0175.HK 2238.HK,11.399999618530273,6.4000000953674325,1.781249913852663,1.6313710855689885,0.13958657567415295,1.7709576612431417,1.4917845098948357,True,
1308,2020-04-22,0384.HK 1193.HK,23.20000076293945,42.0,0.5523809705461774,0.7325880646638901,0.054684989423640605,0.7872730540875308,0.6779030752402495,,True
1308,2020-04-22,0384.HK 2688.HK,23.20000076293945,79.44999694824219,0.2920075727385254,0.3596940891540654,0.026600475551837085,0.3862945647059025,0.33309361360222833,,True
1308,2020-04-22,0489.HK 1114.HK,4.940000057220459,6.820000171661378,0.7243401661113238,0.8801060327187499,0.11389252188706438,0.9939985546058142,0.7662135108316855,,True
1277,2020-04-22,0669.HK SWK,55.599998474121094,107.37000274658205,0.5178354945687196,0.4192092697721463,0.05496367533771833,0.4741729451098646,0.364245594434428,True,
1308,2020-04-22,0728.HK 0762.HK,2.549999952316284,4.900000095367432,0.5204081434053666,0.4562780754959624,0.02652661699602836,0.4828046924919908,0.4297514584999341,True,
1308,2020-04-22,0857.HK 0386.HK,2.6800000667572017,3.759999990463257,0.7127659770092202,0.8184950211300025,0.051641940432440685,0.8701369615624432,0.7668530806975618,,True
1308,2020-04-22,0883.HK 0386.HK,8.239999771118164,3.759999990463257,2.191489306387722,2.5697583720135286,0.30898621095921097,2.87874458297274,2.2607721610543177,,True
1308,2020-04-22,0902.HK 0836.HK,2.630000114440918,9.039999961853027,0.2909292174268791,0.3768169683051508,0.046319201302783365,0.4231361696079342,0.33049776700236744,,True
1308,2020-04-22,0914.HK 3323.HK,59.4000015258789,9.510000228881836,6.2460567924574075,6.6180171841332225,0.3069944114742893,6.925011595607512,6.311022772658932,,True
1308,2020-04-22,0939.HK 1398.HK,6.010000228881836,5.050000190734863,1.1900990102749434,1.1480621062708602,0.03394882689092818,1.1820109331617883,1.1141132793799322,True,
1308,2020-04-22,0941.HK 0728.HK,61.45000076293945,2.549999952316284,24.098039965499428,19.937755593033707,2.014664025909362,21.952419618943072,17.92309156712434,True,
1308,2020-04-22,0941.HK 0762.HK,61.45000076293945,4.900000095367432,12.540816238153882,9.134303162985963,1.4095586329499032,10.543861795935863,7.724744530036058,True,
1308,2020-04-22,1044.HK 3331.HK,66.34999847412111,22.939998626708984,2.8923279183142565,3.6466086218883977,0.5449864833910555,4.191595105279453,3.1016221384973433,,True
1308,2020-04-22,1088.HK 1898.HK,13.65999984741211,2.0899999141693115,6.535885362866818,5.332082760430419,0.5000734469974604,5.832156207427879,4.832009313432959,True,
1308,2020-04-22,1177.HK 1099.HK,11.079999923706056,20.0,0.5539999961853028,0.4211097365211196,0.1301063698446396,0.5512161063657592,0.29100336667648,True,
1308,2020-04-22,1288.HK 3988.HK,3.109999895095825,2.9100000858306885,1.0687284547649918,1.0079083759996814,0.02115931360152296,1.0290676896012043,0.9867490623981584,True,
1308,2020-04-22,1398.HK 1288.HK,5.050000190734863,3.109999895095825,1.6237943283207934,1.7166923685443032,0.06494852721325071,1.7816408957575538,1.6517438413310526,,True
1308,2020-04-22,1898.HK 1171.HK,2.0899999141693115,5.920000076293945,0.35304052149230697,0.4488965687468726,0.058617786336761984,0.5075143550836346,0.3902787824101106,,True
1308,2020-04-22,1928.HK 0027.HK,30.70000076293945,48.70000076293945,0.630390149527514,0.7046284017914276,0.02720173574125215,0.7318301375326798,0.6774266660501754,,True
1308,2020-04-22,1958.HK 1114.HK,3.0999999046325684,6.820000171661378,0.4545454291209199,0.5668082082909827,0.08082758098116027,0.6476357892721429,0.4859806273098224,,True
1308,2020-04-22,2007.HK 3333.HK,9.43000030517578,12.720000267028807,0.7413522096865868,0.6115431102618338,0.08853776027941028,0.7000808705412441,0.5230053499824235,True,
1308,2020-04-22,2238.HK 2333.HK,6.4000000953674325,4.960000038146973,1.290322589948696,1.4953683398596975,0.14212646134218,1.6374948012018775,1.3532418785175178,,True
1308,2020-04-22,2313.HK 0551.HK,89.5999984741211,12.34000015258789,7.260939818978088,5.181301525995965,0.8087743033671267,5.990075829363092,4.372527222628839,True,
1255,2020-04-22,2319.HK 600887.SS,27.10000038146973,30.32999992370605,0.8935047955700209,1.006542957743099,0.062151755438533025,1.0686947131816322,0.944391202304566,,True
1308,2020-04-22,2333.HK 0489.HK,4.960000038146973,4.940000057220459,1.0040485790880267,0.8195895981603183,0.09785995652582537,0.9174495546861436,0.7217296416344929,True,
1308,2020-04-22,2333.HK 1958.HK,4.960000038146973,3.0999999046325684,1.600000061527377,1.2772298516661662,0.17227313790834758,1.4495029895745135,1.104956713757819,True,
1308,2020-04-22,2628.HK 0966.HK,15.81999969482422,12.239999771118164,1.2924836593668507,1.0732932582965389,0.1374703949669249,1.2107636532634636,0.9358228633296136,True,
1330,2020-04-22,CFR.SW KER.PA,52.65999984741211,464.95001220703125,0.11325948696601787,0.14450749092175932,0.01754204574799792,0.16204953666975724,0.1269654451737614,,True
1321,2020-04-22,EL OR.PA,165.97999572753906,248.1000061035156,0.6690044000171715,0.7557120480251921,0.0632242103716475,0.8189362583968396,0.6924878376535446,,True
1330,2020-04-22,KER.PA UHR.SW,464.95001220703125,185.8000030517578,2.5024219836934627,1.986736718292873,0.30129236440369944,2.288029082696573,1.6854443538891737,True,
1330,2020-04-22,MC.PA CFR.SW,353.45001220703125,52.65999984741211,6.711925811454423,5.218025740717119,0.6653798484617204,5.883405589178839,4.552645892255399,True,
1330,2020-04-22,MC.PA UHR.SW,353.45001220703125,185.8000030517578,1.9023143509237277,1.472330131190961,0.25478065721021875,1.7271107884011794,1.217549473980742,True,
1310,2020-04-22,NKE ADS.DE,88.7699966430664,206.8000030517578,0.42925529658164013,0.3386305307010015,0.0443732856315458,0.3830038163325473,0.2942572450694557,True,
1310,2020-04-22,NKE PUM.DE,88.7699966430664,53.79999923706055,1.6499999610021652,1.3807575047778813,0.1960779638704428,1.576835468648324,1.1846795409074384,True,
1335,2020-04-22,SWK HD,107.37000274658205,204.1699981689453,0.5258853098374238,0.653932531400991,0.0741053925228815,0.7280379239238725,0.5798271388781094,,True
