Date,Open,High,Low,Close,SMA,LMA,SMA2,LMA2,Buy,Sell
2020-03-31 00:00:00+00:00,43799.0,43840.0,43130.0,43255.0,,,,,0.0,0.0
2020-03-30 00:00:00+00:00,43450.0,44190.0,43212.0,43842.0,,,,,0.0,0.0
2020-03-27 00:00:00+00:00,42800.0,43760.0,42800.0,43571.0,,,,,0.0,0.0
2020-03-26 00:00:00+00:00,42001.0,44535.0,41430.0,43542.0,,,,,0.0,0.0
2020-03-25 00:00:00+00:00,41379.0,42785.0,40811.0,42217.0,,,,,0.0,0.0
2020-03-24 00:00:00+00:00,42184.0,42184.0,39929.0,41379.0,,,,,0.0,0.0
2020-03-23 00:00:00+00:00,40721.0,41310.0,39765.0,41163.0,,,,,0.0,0.0
2020-03-20 00:00:00+00:00,39900.0,40948.0,39838.0,40358.0,,,,,0.0,0.0
2020-03-19 00:00:00+00:00,39307.0,40099.0,39052.0,39831.0,,,,,0.0,0.0
2020-03-18 00:00:00+00:00,40127.0,40447.0,39318.0,39723.0,,,,,0.0,0.0
2020-03-17 00:00:00+00:00,39489.0,40934.0,38650.0,40244.0,,,,,0.0,0.0
2020-03-16 00:00:00+00:00,40982.0,41199.0,38400.0,39518.0,,,,,0.0,0.0
2020-03-13 00:00:00+00:00,41750.0,42070.0,40055.0,40348.0,,,,,0.0,0.0
2020-03-12 00:00:00+00:00,43302.0,43637.0,41567.0,42206.0,,,,,0.0,0.0
2020-03-11 00:00:00+00:00,43744.0,43875.0,43275.0,43355.0,,,,,0.0,0.0
2020-03-10 00:00:00+00:00,43836.0,43941.0,43530.0,43740.0,,,,,0.0,0.0
2020-03-09 00:00:00+00:00,44575.0,44772.0,43851.0,44353.0,,,,,0.0,0.0
2020-03-05 00:00:00+00:00,43504.0,44503.0,43243.0,44458.0,,,,,0.0,0.0
2020-03-04 00:00:00+00:00,43357.0,43778.0,43293.0,43569.0,,,,,0.0,0.0
2020-03-03 00:00:00+00:00,41927.0,43517.0,41873.0,43474.0,42207.3,,,,0.0,0.0
2020-03-02 00:00:00+00:00,41738.0,42343.0,41646.0,41956.0,42142.35,,42207.3,,0.0,0.0
2020-02-28 00:00:00+00:00,42670.0,42747.0,41275.0,41397.0,42020.1,,42142.35,,0.0,0.0
2020-02-27 00:00:00+00:00,42640.0,42976.0,42322.0,42385.0,41960.8,,42020.1,,0.0,0.0
2020-02-26 00:00:00+00:00,42536.0,42854.0,42100.0,42504.0,41908.9,,41960.8,,0.0,0.0
2020-02-25 00:00:00+00:00,43176.0,43176.0,42371.0,42788.0,41937.45,,41908.9,,0.0,0.0
2020-02-24 00:00:00+00:00,42932.0,43788.0,42932.0,43580.0,42047.5,,41937.45,,0.0,0.0
2020-02-21 00:00:00+00:00,42210.0,42790.0,42210.0,42666.0,42122.65,,42047.5,,0.0,0.0
2020-02-20 00:00:00+00:00,41651.0,42158.0,41500.0,42039.0,42206.7,,42122.65,,0.0,0.0
2020-02-19 00:00:00+00:00,41408.0,41619.0,41350.0,41586.0,42294.45,,42206.7,,0.0,0.0
2020-02-18 00:00:00+00:00,40900.0,41480.0,40900.0,41420.0,42379.3,,42294.45,,0.0,0.0
2020-02-17 00:00:00+00:00,40889.0,40925.0,40720.0,40756.0,42404.9,,42379.3,,0.0,0.0
2020-02-14 00:00:00+00:00,40601.0,41010.0,40573.0,40979.0,42477.95,,42404.9,,0.0,0.0
2020-02-13 00:00:00+00:00,40551.0,40700.0,40513.0,40656.0,42493.35,,42477.95,,0.0,0.0
2020-02-12 00:00:00+00:00,40431.0,40549.0,40306.0,40484.0,42407.25,,42493.35,,0.0,0.0
2020-02-11 00:00:00+00:00,40566.0,40577.0,40300.0,40410.0,42260.0,,42407.25,,0.0,0.0
2020-02-10 00:00:00+00:00,40566.0,40715.0,40514.0,40679.0,42106.95,,42260.0,,0.0,0.0
2020-02-07 00:00:00+00:00,40393.0,40724.0,40302.0,40644.0,41921.5,,42106.95,,0.0,0.0
2020-02-06 00:00:00+00:00,40081.0,40421.0,40030.0,40351.0,41716.15,,41921.5,,0.0,0.0
2020-02-05 00:00:00+00:00,40108.0,40298.0,39900.0,40200.0,41547.7,,41716.15,,0.0,0.0
2020-02-04 00:00:00+00:00,40408.0,40500.0,40112.0,40302.0,41389.1,,41547.7,,0.0,0.0
2020-02-03 00:00:00+00:00,41011.0,41050.0,40371.0,40661.0,41324.35,,41389.1,,0.0,0.0
2020-02-01 00:00:00+00:00,41035.0,41297.0,40820.0,41248.0,41316.9,,41324.35,,0.0,0.0
2020-01-30 00:00:00+00:00,40486.0,41068.0,40472.0,40975.0,41246.4,,41316.9,,0.0,0.0
2020-01-29 00:00:00+00:00,40111.0,40458.0,40066.0,40350.0,41138.7,,41246.4,,0.0,0.0
2020-01-28 00:00:00+00:00,40562.0,40608.0,40156.0,40242.0,41011.4,,41138.7,,0.0,0.0
2020-01-27 00:00:00+00:00,40500.0,40810.0,40480.0,40585.0,40861.65,,41011.4,,0.0,0.0
2020-01-24 00:00:00+00:00,40214.0,40440.0,39951.0,40352.0,40745.95,,40861.65,,0.0,0.0
2020-01-23 00:00:00+00:00,39904.0,40311.0,39836.0,40283.0,40658.15,,40745.95,,0.0,0.0
2020-01-22 00:00:00+00:00,39817.0,39974.0,39752.0,39913.0,40574.5,,40658.15,,0.0,0.0
2020-01-21 00:00:00+00:00,40090.0,40176.0,39675.0,39911.0,40499.05,41528.96,40574.5,,0.0,0.0
2020-01-20 00:00:00+00:00,39900.0,40000.0,39880.0,39947.0,40458.6,41462.8,40499.05,41528.96,0.0,0.0
2020-01-17 00:00:00+00:00,39730.0,39983.0,39702.0,39946.0,40406.95,41384.88,40458.6,41462.8,0.0,0.0
2020-01-16 00:00:00+00:00,39655.0,39775.0,39588.0,39686.0,40358.45,41307.18,40406.95,41384.88,0.0,0.0
2020-01-15 00:00:00+00:00,39646.0,39708.0,39477.0,39611.0,40314.8,41228.56,40358.45,41307.18,0.0,0.0
2020-01-14 00:00:00+00:00,39500.0,39530.0,39262.0,39447.0,40266.65,41173.16,40314.8,41228.56,0.0,0.0
2020-01-13 00:00:00+00:00,39722.0,39801.0,39523.0,39546.0,40210.0,41136.5,40266.65,41173.16,0.0,0.0
2020-01-10 00:00:00+00:00,39718.0,39913.0,39568.0,39871.0,40171.35,41110.66,40210.0,41136.5,0.0,0.0
2020-01-09 00:00:00+00:00,40036.0,40144.0,39610.0,39830.0,40145.3,41100.1,40171.35,41110.66,0.0,0.0
2020-01-08 00:00:00+00:00,40946.0,41293.0,39922.0,40110.0,40140.8,41105.68,40145.3,41100.1,0.0,0.0
2020-01-07 00:00:00+00:00,40350.0,40693.0,40203.0,40663.0,40158.85,41124.48,40140.8,41105.68,0.0,0.0
2020-01-06 00:00:00+00:00,40250.0,41096.0,40250.0,40472.0,40149.4,41129.04,40158.85,41124.48,0.0,0.0
2020-01-03 00:00:00+00:00,39500.0,40143.0,39500.0,40112.0,40092.6,41140.92,40149.4,41129.04,0.0,0.0
2020-01-02 00:00:00+00:00,39051.0,39400.0,39041.0,39277.0,40007.7,41119.5,40092.6,41140.92,0.0,0.0
2020-01-01 00:00:00+00:00,39108.0,39113.0,38957.0,39067.0,39943.55,41056.72,40007.7,41119.5,0.0,0.0
2019-12-30 00:00:00+00:00,39067.0,39090.0,38904.0,38971.0,39880.0,40969.04,39943.55,41056.72,0.0,0.0
2019-12-27 00:00:00+00:00,38930.0,39095.0,38787.0,39080.0,39804.75,40875.84,39880.0,40969.04,0.0,0.0
2019-12-26 00:00:00+00:00,38635.0,38948.0,38635.0,38882.0,39731.25,40766.42,39804.75,40875.84,0.0,0.0
2019-12-24 00:00:00+00:00,38330.0,38667.0,38292.0,38639.0,39649.05,40650.04,39731.25,40766.42,0.0,0.0
2019-12-23 00:00:00+00:00,38040.0,38287.0,38040.0,38257.0,39566.25,40543.8,39649.05,40650.04,0.0,0.0
2019-12-20 00:00:00+00:00,38040.0,38120.0,37951.0,37991.0,39470.25,40434.14,39566.25,40543.8,0.0,0.0
2019-12-19 00:00:00+00:00,37959.0,38130.0,37860.0,38109.0,39378.35,40357.2,39470.25,40434.14,0.0,0.0
2019-12-18 00:00:00+00:00,37959.0,37995.0,37802.0,37912.0,39276.65,40287.5,39378.35,40357.2,0.0,0.0
2019-12-17 00:00:00+00:00,37869.0,37980.0,37845.0,37940.0,39189.35,40198.6,39276.65,40287.5,0.0,0.0
2019-12-13 00:00:00+00:00,37466.0,37840.0,37466.0,37773.0,39097.45,40103.98,39189.35,40198.6,0.0,0.0
2019-12-12 00:00:00+00:00,37770.0,38068.0,37470.0,37544.0,39002.3,39999.1,39097.45,40103.98,0.0,0.0
2019-12-11 00:00:00+00:00,37580.0,37738.0,37520.0,37699.0,38909.95,39881.48,39002.3,39999.1,0.0,0.0
2019-12-10 00:00:00+00:00,37677.0,37700.0,37534.0,37571.0,38794.95,39779.58,38909.95,39881.48,0.0,0.0
2019-12-09 00:00:00+00:00,37679.0,37698.0,37563.0,37583.0,38682.6,39690.46,38794.95,39779.58,0.0,0.0
2019-12-06 00:00:00+00:00,38011.0,38119.0,37655.0,37699.0,38562.05,39612.72,38682.6,39690.46,0.0,0.0
2019-12-05 00:00:00+00:00,38149.0,38237.0,37952.0,38085.0,38433.15,39546.02,38562.05,39612.72,0.0,0.0
