,Date,Open,High,Low,Close,Adj Close,Volume,SMA,LMA,RSI14,RSI28,Upper_band,Middle_band,Lower_band,SAR,slowk,slowd,fastk,fastd,HO,OL,HCY,CYL,AR,BR,MACD,MACD_Signal,MACD_Hist,MACD_Test
0,2015-01-02,6.3499999046325675,6.3499999046325675,6.28000020980835,6.329999923706055,4.586112022399902,1763700,,,,,,,,,,,,,0.0,0.06999969482421786,,,,,,,,0
1,2015-01-05,6.300000190734862,6.320000171661378,6.230000019073486,6.260000228881836,4.535397529602051,1453460,,,,,,,,6.3499999046325675,,,,,0.019999980926515448,0.07000017166137606,-0.009999752044676846,0.09999990463256836,,,,,,0
2,2015-01-06,6.260000228881836,6.260000228881836,6.110000133514403,6.199999809265138,4.491927146911621,3290847,,,,,,,,6.347599906921386,,,,,0.0,0.15000009536743253,0.0,0.15000009536743253,,,,,,0
3,2015-01-07,6.199999809265138,6.199999809265138,6.079999923706055,6.1599998474121085,4.4629478454589835,1972275,,,,,,,,6.3380959159851065,,,,,0.0,0.11999988555908292,0.0,0.11999988555908292,,,,,,0
4,2015-01-08,6.199999809265138,6.199999809265138,6.119999885559082,6.1500000953674325,4.455703258514403,1736000,,,,,,,,6.322610156448364,,,,,0.0,0.07999992370605558,0.03999996185302912,0.039999961853026456,,,,,,0
5,2015-01-09,6.239999771118164,6.239999771118164,6.1500000953674325,6.1599998474121085,4.4629478454589835,2966031,,,,,,,,6.308053542483825,,,,,0.0,0.08999967575073153,0.08999967575073153,0.0,,,,,,0
6,2015-01-12,6.139999866485597,6.1500000953674325,6.059999942779541,6.079999923706055,4.404987335205078,2442000,,,,,,,,6.294370325357159,,,9.999976158176194,23.086411533295472,0.010000228881835938,0.07999992370605558,-0.009999752044675958,0.09999990463256747,,,,,,0
7,2015-01-13,6.03000020980835,6.1500000953674325,6.03000020980835,6.130000114440918,4.441213130950928,1640600,,,,,,,,6.275620694750949,,,47.61910168233042,30.317448315508262,0.11999988555908292,0.0,0.07000017166137784,0.04999971389770508,,,,,,0
8,2015-01-14,6.25,6.260000228881836,6.0900001525878915,6.1500000953674325,4.455703258514403,988079,,,,,,,,6.03000020980835,36.597645600126704,30.000501816310145,52.173858959873506,36.597645600126704,0.010000228881835938,0.1599998474121085,0.13000011444091797,0.039999961853026456,,,,,,0
9,2015-01-15,6.119999885559082,6.139999866485597,6.0999999046325675,6.130000114440918,4.441213130950928,2294000,,,,,,,,6.03000020980835,47.757058814032725,38.22405090988923,43.478215799894265,47.757058814032725,0.01999998092651456,0.01999998092651456,-0.010000228881835938,0.05000019073486506,,,,,,0
10,2015-01-16,6.0999999046325675,6.0999999046325675,6.039999961853027,6.050000190734862,4.383251190185547,1573953,,,,,,,,6.0346002101898195,34.782572639915415,39.71242568469162,8.695643159978468,34.782572639915415,0.0,0.05999994277954013,-0.030000209808350498,0.09000015258789062,,,,,,0
11,2015-01-19,6.019999980926514,6.190000057220459,5.960000038146973,5.989999771118164,4.339781761169434,1625000,,,,,,,,6.260000228881836,20.724587864167244,34.4214064393718,9.999904632628992,20.724587864167244,0.1700000762939453,0.059999942779541016,0.1399998664855966,0.09000015258788974,,,,,,0
12,2015-01-20,5.980000019073486,6.079999923706055,5.980000019073486,6.050000190734862,4.383251190185547,1962000,,,,,,,,6.254000225067139,16.231859860576947,23.91300678821987,30.000031789123373,16.231859860576947,0.09999990463256836,0.0,0.09000015258789062,0.009999752044677734,,,,,,0
