Date,Open,High,Low,Close,Adj Close,Volume
2015-05-05,28295.720703125,28316.630859375,27598.169921875,27755.5390625,27755.5390625,2292680300
2015-05-06,27698.099609375,28054.6796875,27570.41015625,27640.91015625,27640.91015625,2265508000
2015-05-07,27567.619140625,27604.490234375,27207.279296875,27289.970703125,27289.970703125,1894753100
2015-05-08,27557.51953125,27652.619140625,27367.109375,27577.33984375,27577.33984375,1817614400
2015-05-11,27837.0390625,27837.279296875,27582.23046875,27718.19921875,27718.19921875,1540963800
2015-05-12,27664.1796875,27693.630859375,27395.91015625,27407.1796875,27407.1796875,1530000900
2015-05-13,27473.5,27524.8203125,27191.029296875,27249.279296875,27249.279296875,2088818800
2015-05-14,27395.919921875,27397.669921875,27192.9296875,27286.55078125,27286.55078125,1522212900
2015-05-15,27459.580078125,27928.599609375,27315.099609375,27822.279296875,27822.279296875,1754137700
2015-05-18,27792.439453125,27792.439453125,27435.5703125,27591.25,27591.25,1378791400
2015-05-19,27597.0703125,27765.55078125,27500.759765625,27693.5390625,27693.5390625,1559455500
2015-05-20,27751.439453125,27751.439453125,27490.330078125,27585.05078125,27585.05078125,1470372800
2015-05-21,27507.3203125,27611.720703125,27393.310546875,27523.720703125,27523.720703125,1221508500
2015-05-22,27723.669921875,28041.3203125,27696.970703125,27992.830078125,27992.830078125,1899363800
2015-05-26,28462.3203125,28524.599609375,28237.490234375,28249.859375,28249.859375,2672054500
2015-05-27,28214.66015625,28214.66015625,27982.140625,28081.2109375,28081.2109375,1863591500
2015-05-28,28162.25,28162.25,27242.109375,27454.310546875,27454.310546875,3066678800
2015-05-29,27398.279296875,27604.26953125,27255.890625,27424.189453125,27424.189453125,3050185700
2015-06-01,27373.060546875,27766.3203125,27241.94921875,27597.16015625,27597.16015625,1972936000
2015-06-02,27473.44921875,27602.880859375,27348.130859375,27466.720703125,27466.720703125,1502001000
2015-06-03,27716.33984375,27767.23046875,27508.83984375,27657.470703125,27657.470703125,1735744700
2015-06-04,27645.359375,27854.740234375,27094.5,27551.890625,27551.890625,3066127000
2015-06-05,27538.060546875,27646.720703125,27211.359375,27260.16015625,27260.16015625,2228885200
2015-06-08,27147.240234375,27428.58984375,27060.240234375,27316.279296875,27316.279296875,2391660200
2015-06-09,27295.880859375,27322.140625,26971.5703125,26989.51953125,26989.51953125,2384116300
2015-06-10,27052.7890625,27116.919921875,26573.9609375,26687.640625,26687.640625,1977373500
2015-06-11,26938.150390625,26991.509765625,26839.4296875,26907.849609375,26907.849609375,1670581300
2015-06-12,27082.599609375,27356.509765625,26987.51953125,27280.5390625,27280.5390625,1734157900
2015-06-15,27095.1796875,27131.359375,26841.51953125,26861.810546875,26861.810546875,1324712200
2015-06-16,26807.669921875,26892.880859375,26553.0390625,26566.69921875,26566.69921875,1761927200
2015-06-17,26671.19921875,26880.7890625,26555.9609375,26753.7890625,26753.7890625,1819404400
2015-06-18,26786.529296875,26873.669921875,26595.9609375,26694.66015625,26694.66015625,1469953200
2015-06-19,26885.73046875,27011.94921875,26701.720703125,26760.529296875,26760.529296875,2497578900
2015-06-22,26854.3203125,27166.51953125,26811.66015625,27080.849609375,27080.849609375,1429174800
